region,type,value_phase1,percent_phase1,value_phase2,percent_phase2,value_total,percent_total,percent_variation
Cambridgeshire and Peterborough CA,Combined authorities,"£642,429.00",1.53%,"£1,724,250.00",0.98%,"£2,366,679.00",1.09%,0.54%
Greater Manchester CA,Combined authorities,"£3,174,000.00",7.54%,"£15,871,250.00",9.05%,"£19,045,250.00",8.76%,-1.51%
Liverpool City Region CA,Combined authorities,"£1,974,000.00",4.69%,"£7,896,000.00",4.50%,"£9,870,000.00",4.54%,0.19%
London boroughs and TfL,Combined authorities,"£5,000,000.00",11.88%,"£20,000,000.00",11.41%,"£25,000,000.00",11.50%,0.47%
North East JTC,Combined authorities,"£2,262,000.00",5.37%,"£9,049,000.00",5.16%,"£11,311,000.00",5.20%,0.21%
Sheffield City Region CA,Combined authorities,"£1,437,000.00",3.41%,"£5,461,550.00",3.11%,"£6,898,550.00",3.17%,0.30%
Tees Valley CA,Combined authorities,"£481,542.00",1.14%,"£1,722,000.00",0.98%,"£2,203,542.00",1.01%,0.16%
West Midlands ITA,Combined authorities,"£3,850,997.00",9.15%,"£13,097,650.00",7.47%,"£16,948,647.00",7.79%,1.68%
West of England CA,Combined authorities,"£827,895.00",1.97%,"£2,964,000.00",1.69%,"£3,791,895.00",1.74%,0.28%
West Yorkshire CA,Combined authorities,"£2,513,000.00",5.97%,"£10,053,000.00",5.73%,"£12,566,000.00",5.78%,0.24%
Bedford UA,Local authorities,"£30,250.00",0.07%,"£363,750.00",0.21%,"£394,000.00",0.18%,-0.14%
Blackburn with Darwen UA,Local authorities,"£77,000.00",0.18%,"£292,600.00",0.17%,"£369,600.00",0.17%,0.02%
Blackpool UA,Local authorities,"£26,000.00",0.06%,"£312,000.00",0.18%,"£338,000.00",0.16%,-0.12%
"Bournemouth, Christchurch and Poole UA",Local authorities,"£312,835.00",0.74%,"£1,062,100.00",0.61%,"£1,374,935.00",0.63%,0.14%
Bracknell Forest UA,Local authorities,"£57,000.00",0.14%,"£181,800.00",0.10%,"£238,800.00",0.11%,0.03%
Brighton and Hove UA,Local authorities,"£663,657.00",1.58%,"£2,376,000.00",1.35%,"£3,039,657.00",1.40%,0.22%
Buckinghamshire UA,Local authorities,"£513,943.00",1.22%,"£1,748,000.00",1.00%,"£2,261,943.00",1.04%,0.22%
Central Bedfordshire UA,Local authorities,"£223,454.00",0.53%,"£600,000.00",0.34%,"£823,454.00",0.38%,0.19%
Cheshire East UA,Local authorities,"£155,000.00",0.37%,"£588,050.00",0.34%,"£743,050.00",0.34%,0.03%
Cheshire West and Chester UA,Local authorities,"£161,000.00",0.38%,"£611,800.00",0.35%,"£772,800.00",0.36%,0.03%
Cornwall UA1,Local authorities,"£152,000.00",0.36%,"£607,000.00",0.35%,"£759,000.00",0.35%,0.01%
Cumbria,Local authorities,"£260,323.00",0.62%,"£886,350.00",0.51%,"£1,146,673.00",0.53%,0.11%
Derby UA,Local authorities,"£227,923.00",0.54%,"£776,150.00",0.44%,"£1,004,073.00",0.46%,0.10%
Derbyshire+,Local authorities,"£443,000.00",1.05%,"£1,684,350.00",0.96%,"£2,127,350.00",0.98%,0.09%
Devon+,Local authorities,"£338,000.00",0.80%,"£1,283,450.00",0.73%,"£1,621,450.00",0.75%,0.07%
Dorset UA,Local authorities,"£128,486.00",0.31%,"£438,900.00",0.25%,"£567,386.00",0.26%,0.05%
East Riding of Yorkshire UA,Local authorities,"£123,000.00",0.29%,"£467,400.00",0.27%,"£590,400.00",0.27%,0.03%
East Sussex+,Local authorities,"£535,171.00",1.27%,"£1,820,200.00",1.04%,"£2,355,371.00",1.08%,0.23%
Essex+,Local authorities,"£968,500.00",2.30%,"£7,358,700.00",4.20%,"£8,327,200.00",3.83%,-1.90%
Gloucestershire,Local authorities,"£321,773.00",0.76%,"£864,750.00",0.49%,"£1,186,523.00",0.55%,0.27%
Hampshire+,Local authorities,"£863,000.00",2.05%,"£3,280,350.00",1.87%,"£4,143,350.00",1.91%,0.18%
