name,group,percent_phase1,percent_phase2,percent_total
East Midlands Euro Region,East Midlands,0.07,0.07,0.07
Eastern Euro Region,East of England,0.12,0.14,0.14
London Euro Region,London,0.12,0.11,0.11
North East Euro Region,North East England,0.06,0.06,0.06
Nort West Euro Region,North West England,0.16,0.16,0.17
South East Euro Region,South East England,0.19,0.19,0.19
South West Euro Region,South West England,0.04,0.03,0.03
West Midlands Euro Region,West Midlands,0.11,0.10,0.10
Yorkshire and the Humber Euro Region,Yorkshire and the Humber,0.11,0.10,0.10
,Others,0.02,0.04,0.03
